score_id,tweet_id,score_value,model_used,analyzed_at,confidence,category_id
0,0,0,3,11 / 20 / 2005,2,0
1,1,0,7,9 / 14 / 2022,7,1
2,2,0,3,7 / 25 / 1990,6,2
3,3,0,2,9 / 14 / 2022,4,3
4,4,0,2,4 / 22 / 2001,2,4
5,5,0,5,5 / 17 / 2011,6,5
6,6,0,7,3 / 17 / 2025,4,6
7,7,0,5,1 / 1 / 1988,5,7
8,8,0,3,8 / 22 / 1995,4,8
9,9,0,0,3 / 10 / 1990,9,9
10,10,0,6,5 / 1 / 1999,4,10
11,11,0,1,11 / 3 / 1989,3,11
12,12,0,0,5 / 3 / 1993,9,12
13,13,0,1,8 / 23 / 2009,3,13
14,14,0,6,8 / 3 / 2018,8,14
15,15,0,4,7 / 9 / 2000,3,15
16,16,0,0,6 / 1 / 1999,8,16
17,17,0,1,11 / 23 / 2010,2,17
18,18,0,2,5 / 11 / 1997,10,18
19,19,0,3,2 / 16 / 2009,9,19
20,20,0,2,1 / 24 / 1998,3,20
21,21,0,4,3 / 18 / 2021,1,21
22,22,0,1,2 / 13 / 2012,4,22
23,23,0,1,7 / 9 / 1991,6,23
24,24,0,7,2 / 9 / 1996,9,24
25,25,0,0,1 / 10 / 2005,5,25
26,26,0,6,1 / 12 / 2006,4,26
27,27,0,7,11 / 8 / 1985,8,27
28,28,0,4,7 / 1 / 2024,0,28
29,29,0,2,5 / 2 / 1988,0,29
30,30,0,2,7 / 25 / 2011,9,30
31,31,0,0,1 / 18 / 2025,10,31
32,32,0,5,1 / 2 / 1998,0,32
33,33,0,2,6 / 18 / 2014,10,33
34,34,0,4,6 / 10 / 2023,1,34
35,35,0,1,8 / 2 / 2016,1,35
36,36,0,7,6 / 4 / 2005,5,36
37,37,0,7,7 / 8 / 1987,1,37
38,38,0,1,2 / 15 / 2001,4,38
39,39,0,3,4 / 16 / 2015,2,39
40,40,0,0,9 / 9 / 1993,9,40
41,41,0,5,9 / 7 / 1998,0,41
42,42,0,6,9 / 24 / 2000,7,42
43,43,0,0,9 / 3 / 2016,10,43
44,44,0,1,2 / 20 / 1988,7,44
45,45,0,1,4 / 22 / 2010,7,45
46,46,0,6,8 / 25 / 1992,3,46
47,47,0,2,10 / 3 / 2020,3,47
48,48,0,2,4 / 8 / 2004,3,48
49,49,0,1,6 / 18 / 1989,8,49
50,50,0,3,9 / 27 / 2002,9,50
51,51,0,4,2 / 8 / 1987,1,51
52,52,0,7,6 / 11 / 1996,3,52
53,53,0,7,4 / 7 / 2013,9,53
54,54,0,4,4 / 25 / 2003,3,54
55,55,0,2,2 / 18 / 2011,6,55
56,56,0,2,4 / 18 / 1994,5,56
57,57,0,0,4 / 3 / 1990,1,57
58,58,0,4,8 / 21 / 2021,7,58
59,59,0,3,6 / 16 / 2025,9,59
60,60,0,2,10 / 14 / 1991,5,60
61,61,0,6,10 / 1 / 1994,0,61
62,62,0,5,8 / 22 / 2017,0,62
