tweet_id,content,posted_at,language,retweet_count,flag,user_id
0,@robertvrabel Oh no! I hope everything turns out alright! That does not sound like an easy fix ,Tue Apr 07 03:37:45 PDT 2009,English,50103,NO_QUERY,0
1,I only seem to own black tops wtf ,Tue Apr 07 03:37:59 PDT 2009,English,65025,NO_QUERY,1
2,I miss the chai latte from Expresso House ,Tue Apr 07 03:38:03 PDT 2009,English,63914,NO_QUERY,2
3,i suffered from writers block the entire day yesterday and then after midnight ideas started hitting me and i havnt yet been to sleep  :O,Tue Apr 07 03:38:04 PDT 2009,English,58459,NO_QUERY,3
4,5:37 and I am up. Oh my god ,Tue Apr 07 03:38:08 PDT 2009,English,122186,NO_QUERY,4
5,"@zzap What do you mean someone will &quot;finally&quot; love you? I love you, and have for a long time. ",Tue Apr 07 03:38:09 PDT 2009,English,387,NO_QUERY,5
6,@horrorhannah Sounds ace. I want to go back to uni. ,Tue Apr 07 03:38:13 PDT 2009,English,55226,NO_QUERY,6
7,wow i feel like crap ,Tue Apr 07 03:38:17 PDT 2009,English,117300,NO_QUERY,7
8,It should definately not be snowing outside! ,Tue Apr 07 03:38:21 PDT 2009,English,34484,NO_QUERY,8
9,"@Mummyofmany You'll get another when the petition closes in Nov - some type of an answer, but don't expect too much ",Tue Apr 07 03:38:26 PDT 2009,English,13154,NO_QUERY,9
10,going to the Dr with Anthony today..im sure the news wont be great   his icd has gone off numerous times...,Tue Apr 07 03:38:32 PDT 2009,English,8166,NO_QUERY,10
11,My xbox360 died! I have no stress relief  How depressing... and in the middle of moving to a new apartment! UGH! Someone cheer me up.,Tue Apr 07 03:38:33 PDT 2009,English,85547,NO_QUERY,11
12,My eyes are burning ,Tue Apr 07 03:38:34 PDT 2009,English,114297,NO_QUERY,12
13,"@sasha_saliego here for a pesticide trng, region said it would b less expensive to have it here than in SF. Would rather b in SF tho. ",Tue Apr 07 03:38:42 PDT 2009,English,118602,NO_QUERY,13
14,"on my way to sales training, really don't wanna i want learn, but i'm afraid i have to ",Tue Apr 07 03:38:47 PDT 2009,English,98814,NO_QUERY,14
15,@aaamyzing well I hate alabaster ,Tue Apr 07 03:38:50 PDT 2009,English,93650,NO_QUERY,15
16,"Mornin twitterlings! I am tired. Don't want 2 get out of bed, but must catch earlier train ",Tue Apr 07 03:38:51 PDT 2009,English,71656,NO_QUERY,16
17,Stop making me do things! I'm so tired! ,Tue Apr 07 03:38:52 PDT 2009,English,39762,NO_QUERY,17
18,Has been swimming this morning to help with back ache only then we walked into town and it hurts again ,Tue Apr 07 03:38:55 PDT 2009,English,13084,NO_QUERY,18
19,"Just woke up, I'm freezing and everything hurts. This is not good. ",Tue Apr 07 03:38:58 PDT 2009,English,58548,NO_QUERY,19
20, just ,Tue Apr 07 03:39:06 PDT 2009,English,65405,NO_QUERY,20
21,is doing her dreaded assignment ,Tue Apr 07 03:39:08 PDT 2009,English,71731,NO_QUERY,21
22,"woke up in a pile of blankets, and didn't want to leave it. ",Tue Apr 07 03:39:18 PDT 2009,English,9438,NO_QUERY,22
23,@LFCTV where can I buy FOAR if I'm in Russia? HMV and iTunes do not sell to Russia ,Tue Apr 07 03:39:19 PDT 2009,English,75093,NO_QUERY,23
24,@jmcesteves  I need something to help me transcribe several hours of interview during Summer time,Tue Apr 07 03:39:26 PDT 2009,English,5980,NO_QUERY,24
25,@chainsawchelsea  i didnt; know this  d bag had your sets! i wanted new chelsea to dream of ,Tue Apr 07 03:39:29 PDT 2009,English,61099,NO_QUERY,25
26,"i'm seeing my cousin from Canada for the last time today before she goes back     sad times,need cheering up",Tue Apr 07 03:39:35 PDT 2009,English,83318,NO_QUERY,26
27,"@mr_flibble08 yeah, sad times ",Tue Apr 07 03:39:34 PDT 2009,English,101310,NO_QUERY,27
28,@aplusk apparently citizens of Brunei don't have to pay taxes. sadly the only way to become a citizen of Brunei is to be born there ,Tue Apr 07 03:39:38 PDT 2009,English,62003,NO_QUERY,28
29,Cant find a laptop thats reasonably priced and has good editing software. May have to save for a few months ,Tue Apr 07 03:39:43 PDT 2009,English,73369,NO_QUERY,29
30,"I'm having some trouble partitioning my external hard drive, i cant get it the way i want it.. ",Tue Apr 07 03:41:38 PDT 2009,English,106615,NO_QUERY,30
31,it's raining ,Tue Apr 07 03:41:39 PDT 2009,English,13337,NO_QUERY,31
32,I'm back in the world.  Funeral was sad. ,Tue Apr 07 03:41:47 PDT 2009,English,23677,NO_QUERY,32
33,"@SarahNicholas poor you, I once asked for pale pink streaks - came out like Ronald MacDonald - wore hat for weeks, horrible experience ",Tue Apr 07 03:41:50 PDT 2009,English,93374,NO_QUERY,33
34,"gosh, looks like i'm housebound for the next wee while. this is horrible ",Tue Apr 07 03:41:51 PDT 2009,English,84274,NO_QUERY,34
35,school  whats up with this snow?,Tue Apr 07 03:41:55 PDT 2009,English,94225,NO_QUERY,35
36,@ringworm I wanna chill ,Tue Apr 07 03:42:01 PDT 2009,English,10036,NO_QUERY,36
37,Grrrrr its snowing  i hate it when its cold!! It sure doesnt feel like spring,Tue Apr 07 03:42:02 PDT 2009,English,124522,NO_QUERY,37
38,rainy day.  so bad. (trying to make my hair look great -_-,Tue Apr 07 03:42:21 PDT 2009,English,77714,NO_QUERY,38
39,ARRRRRRGH.. I haven't saved THAT file! ,Tue Apr 07 03:42:22 PDT 2009,English,16297,NO_QUERY,39
40,I had only 3 hrs of sleep  now i have to function! my knees r so weak! I REALLY HOPE YOU HAVE A GOOD PLAN!!!,Tue Apr 07 03:42:22 PDT 2009,English,125189,NO_QUERY,40
41,TweetDeck crashed again  I don't think it likes Vista64,Tue Apr 07 03:42:24 PDT 2009,English,10829,NO_QUERY,41
42,@Tiredofbeinsexy i haven't tweeted at you in forever ,Tue Apr 07 03:42:24 PDT 2009,English,20654,NO_QUERY,42
43,"tried to land a front flip, I couldn't do it ",Tue Apr 07 03:42:24 PDT 2009,English,74418,NO_QUERY,43
44,"@ipathia I totally adore cats, I have 2 males and a female. We recently lost our kitten female. She disappeared (7wks now) ",Tue Apr 07 03:42:25 PDT 2009,English,77236,NO_QUERY,44
45,Can't sleep  I close my eyes and all  I see is work and a billion ideas moving in all directions.,Tue Apr 07 03:42:25 PDT 2009,English,50456,NO_QUERY,45
46,@k_austin awe  double today and thursday? damnnn girl. gotta love regal minimum wage pay.,Tue Apr 07 03:42:28 PDT 2009,English,83723,NO_QUERY,46
47,@mileycyrus aww I feel u u just woke up for school  hopefully I'll meet u today hah &lt;3,Tue Apr 07 03:42:30 PDT 2009,English,16675,NO_QUERY,47
48,taids ZB! str??i atpaka? beidz?s PedS?de. uff! fucking thing ,Tue Apr 07 03:42:32 PDT 2009,English,85539,NO_QUERY,48
49,Why is 8*800mtrs @ 6:19  pace harder than a 22 mile? ,Tue Apr 07 03:42:39 PDT 2009,English,31952,NO_QUERY,49
50,"@sazzle84  Please dont do that, i'll be good..... honest",Tue Apr 07 03:42:42 PDT 2009,English,98830,NO_QUERY,50
51,Im still waiting for my Phone  x,Tue Apr 07 03:42:43 PDT 2009,English,118668,NO_QUERY,51
52,Long live my xbox 360. The red ring of death has finally overcome it. ,Tue Apr 07 03:42:44 PDT 2009,English,27433,NO_QUERY,52
53,"Showered, packed, and off to hang with my boys before breakfast and departure. I don't wanna leave ",Tue Apr 07 03:42:44 PDT 2009,English,61447,NO_QUERY,53
54,"Woke up about 3 hours later than I had intended- the joys of staying up to watch a basketball game in the US, which my team lost. ",Tue Apr 07 03:42:52 PDT 2009,English,105615,NO_QUERY,54
55,@esarakaitis there is no link ,Tue Apr 07 03:42:54 PDT 2009,English,105950,NO_QUERY,55
56,"@Aneeqah Only a pleasure... Someone had better have come brownie joy, and it ain't going to be me  Pigging out vicariously through you!",Tue Apr 07 03:42:55 PDT 2009,English,39310,NO_QUERY,56
